PLAYER,EARLY/LATE,TEE TIME,BET TYPE,BETMGM,DRAFTKINGS,FANDUEL, BET365,POINTSBET,BETFAIR,BETONLINE,WILLIAMHILL,BETWAY,BOVADA,CIRCA,PINNACLE,SKYBET,UNIBET,RANK AV,AVERAGE,PERCENT LST 20,MODEL,RANK,% ODDS AVERAGE,925 - VEGAS,BET TAG,Best Odds Number,Best Odds Sportsbook,Best Odds,Percent Difference From Average,Bet Difference Per Bet,Bet Difference Week,Best Odds Percent Difference From Average,Difference From Average Odds,Course,925 Odds,Pre Tournament Odds,Edge,,,Headshot
Scottie Scheffler,Late,2026-08-16 12:40,OUTRIGHT,-2.5,-2.4,-2.5,-2.5,0,0,-2.3,-2.5,-3.6,-2.5,0,0,-2.5,0,1,-2.6,0.15,69,69,-0.6250,0,OUTRIGHT,0,POINTSBET,POINTSBET (0/1),,,989,1.6250,1,TPC Southwind,-0.13,0.11,0.49,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46046.png"
Sam Burns,Late,2026-08-16 12:40,OUTRIGHT,4,4.4,4.8,4.5,0,0,4.5,4,4.5,4.5,0,0,4.5,0,95,4.4,,1,1,0.1852,-94,OUTRIGHT,4.5, BET365, BET365 (4.5/1),0.9777777778,66,89,-0.0034,0.1818181818,TPC Southwind,0.14,0.05,-0.05,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47504.png"
Sungjae Im,Late,2026-08-16 12:30,OUTRIGHT,7.5,7.7,7,7,0,0,7.5,7.5,7.5,7.5,0,0,7.5,0,96,7.4,,3,3,0.1190,-93,,7.5,BETONLINE,BETONLINE (7.5/1),0.9866666667,67,152,-0.0014,0.1176470588,TPC Southwind,0.07,0.00,-0.05,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39971.png"
Tommy Fleetwood,Late,2026-08-16 12:20,OUTRIGHT,33,34,30,33,0,0,33,30,33,35,0,0,33,0,97,32.7,0.05,4,4,0.0297,-93,OUTRIGHT,35,BOVADA,BOVADA (35/1),0.9342857143,64,126,-0.0019,0.02777777778,TPC Southwind,0.05,0.08,0.03,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30911.png"
Jake Knapp,Late,2026-08-16 12:30,OUTRIGHT,60,59,60,70,0,0,65,60,66,65,0,0,60,0,98,62.8,,15,15,0.0157,-83,Long Shot Outright Only,70, BET365, BET365 (70/1),0.8971428571,62,139,-0.0016,0.01408450704,TPC Southwind,0.01,0.00,-0.01,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47420.png"
Hideki Matsuyama,Late,2026-08-16 12:10,OUTRIGHT,80,88,80,90,0,0,80,80,80,75,0,0,80,0,100,81.4,,6,6,0.0121,-94,OUTRIGHT,90, BET365, BET365 (90/1),0.9044444444,63,170,-0.0011,0.01098901099,TPC Southwind,0.03,0.04,0.01,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32839.png"
Si Woo Kim,Late,2026-08-16 12:20,OUTRIGHT,100,98,80,90,0,0,10,80,80,80,0,0,80,0,99,77.6,,11,11,0.0127,-88,OUTRIGHT,90, BET365, BET365 (90/1),0.8622222222,61,138,-0.0017,0.01098901099,TPC Southwind,0.01,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37455.png"
Alex Noren,Late,2026-08-16 12:10,OUTRIGHT,175,150,125,175,0,0,150,150,150,200,0,0,125,0,101,155.6,,24,24,0.0064,-77,,200,BOVADA,BOVADA (200/1),0.778,53,151,-0.0014,0.004975124378,TPC Southwind,0.01,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27349.png"
Brian Harman,Late,2026-08-16 12:00,OUTRIGHT,200,175,150,175,0,0,150,150,200,200,0,0,125,0,102,169.4,,29,29,0.0059,-73,,200,BETWAY,BETWAY (200/1),0.847,60,178,-0.0009,0.004975124378,TPC Southwind,0.00,0.00,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_27644.png"
Viktor Hovland,Late,2026-08-16 11:50,OUTRIGHT,200,220,150,225,0,0,200,200,250,250,0,0,150,0,103,205.0,0.05,17,17,0.0049,-86,Possible Outright,250,BETWAY,BETWAY (250/1),0.82,57,179,-0.0009,0.003984063745,TPC Southwind,0.01,0.01,0.00,,,"https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46717.png"
