Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5194909112,lazer14,324,262.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Kevin Roy G Aaron Wise,,Kurt Kitayama,G,25.36%,27
1,5196225551,THAjackel23,324,262.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Lucas Glover,,Ben Kohles,G,24.62%,67
1,5196438783,deyoung88,324,262.5,G Kurt Kitayama G Tom Kim G Gary Woodland G Emiliano Grillo G Ben Kohles G Lucas Glover,,Scottie Scheffler,G,24.58%,41
4,5196324614,hzdaniel,324,262,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Kevin Roy G Paul Peterson,,Benjamin James,G,22.18%,14.5
5,5196531368,dhelm83,324,258,G Kurt Kitayama G Hideki Matsuyama G Gary Woodland G Emiliano Grillo G Ben Kohles G Lucas Glover,,Tom Kim,G,21.45%,22.5
6,5195770238,bighouse15,324,257.5,G Kurt Kitayama G Jackson Koivun G Doug Ghim G Emiliano Grillo G Ben Kohles G Jesper Svensson,,Jackson Suber,G,21.19%,22.5
7,5196210216,rz1001,324,256.5,G Jake Knapp G Jackson Koivun G Gary Woodland G Michael Brennan G Ben Kohles G Austin Smotherman,,Hideki Matsuyama,G,20.65%,18
8,5195320946,jmbass7392,324,254.5,G Kurt Kitayama G Jackson Koivun G Benjamin James G Emiliano Grillo G Ben Kohles G Lucas Glover,,Max Homa,G,20.14%,13
9,5195390444,RyanH77,324,250.5,G Keith Mitchell G Pierceson Coody G Gary Woodland G Michael Brennan G Emiliano Grillo G Ben Kohles,,Zac Blair,G,17.09%,22.5
10,5196804042,romanta,324,250,G Jake Knapp G Jackson Koivun G Max Homa G Michael Brennan G Emiliano Grillo G Ben Kohles,,Emiliano Grillo,G,16.11%,52.5
11,5195411831,patmicmac,324,249.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Mackenzie Hughes G Lucas Glover G Troy Merritt,,Corey Conners,G,15.69%,14.5
12,5194675996,navyhmcm,324,247,G Tom Kim G Jackson Koivun G Sungjae Im G Emiliano Grillo G Ben Kohles G Jesper Svensson,,Mac Meissner,G,15.29%,14
13,5196387620,4LeftsMakeItRight,324,245,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Matti Schmid G Kevin Roy G Aaron Wise,,Casey Jarvis,G,12.47%,12
14,5195642175,Goingthedistance,324,242.5,G Kurt Kitayama G Jackson Koivun G Jackson Suber G Emiliano Grillo G Ben Kohles G Tom Hoge,,Jackson Koivun,G,12.38%,49.5
15,5196722736,andrewwrase,324,242,G Tom Kim G Jackson Koivun G Pierceson Coody G Rasmus Neergaard-Petersen G Emiliano Grillo G Ben Kohles,,Johnny Keefer,G,12.22%,12
16,5195572803,Ftanncville,324,241,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Zac Blair G Kevin Roy G Aaron Wise,,Sungjae Im,G,11.44%,12
