Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5202045673,B32044 (1/5),368,158.5,G Jackson Koivun G Wyndham Clark G Akshay Bhatia G Rickie Fowler G Keegan Bradley G Chris Kirk,,Cameron Young,G,31.11%,0
2,5202647450,mheiman3,374,158,G Cameron Young G Chris Gotterup G Wyndham Clark G Michael Kim G Emiliano Grillo G Peter Malnati,,Chris Gotterup,G,28.05%,16.5
3,5202408215,FlavorFlav (9/117),374,154.5,G Chris Gotterup G Si Woo Kim G Rickie Fowler G Keegan Bradley G Johnny Keefer G Michael Kim,,Jake Knapp,G,25.08%,0
4,5202414447,ryancjeffries (1/5),364,151,G Chris Gotterup G Jackson Koivun G Rickie Fowler G Keegan Bradley G Eric Cole G Emiliano Grillo,,Si Woo Kim,G,24.00%,13.5
4,5202199325,Peterian (1/2),361,151,G Jackson Koivun G Rickie Fowler G Keegan Bradley G Eric Cole G Emiliano Grillo G Joel Dahmen,,Wyndham Clark,G,21.09%,16.5
6,5202243595,DraftStud101,378,149.5,G Chris Gotterup G Wyndham Clark G Rickie Fowler G Keegan Bradley G Jordan Spieth G Michael Kim,,Hideki Matsuyama,G,20.58%,0
6,5202489705,ToeTagginTambo (76/79),368,149.5,G Chris Gotterup G Si Woo Kim G Wyndham Clark G Michael Kim G Kevin Yu G Chris Kirk,,Jackson Koivun,G,20.10%,18
8,5201383351,Bruiser1313 (41/59),365,148.5,G Chris Gotterup G Si Woo Kim G Wyndham Clark G Michael Kim G Emiliano Grillo G Chris Kirk,,Ryan Gerard,G,18.55%,10
9,5202777934,knappalex (2/3),378,148,G Si Woo Kim G Jackson Koivun G Rickie Fowler G Jacob Bridgeman G Keegan Bradley G Michael Kim,,Ben Kohles,G,16.69%,0
10,5200988323,seangriffin926,389,147,G Cameron Young G Xander Schauffele G Rickie Fowler G Keegan Bradley G Ben Kohles G Peter Malnati,,Jacob Bridgeman,G,16.39%,0
10,5202162374,kcweir1087 (5/8),366,147,G Xander Schauffele G Wyndham Clark G Rickie Fowler G Keegan Bradley G Christiaan Bezuidenhout G Tony Finau,,J.J. Spaun,G,15.03%,0
12,5200414649,RFHBulldogsDad17 (6/150),369,146.5,G Si Woo Kim G Jackson Koivun G Ryan Gerard G Keegan Bradley G Michael Kim G Kevin Yu,,Xander Schauffele,G,14.95%,12
13,5201721729,mikevicious15 (5/5),376,146,G Xander Schauffele G Jackson Koivun G Wyndham Clark G Michael Brennan G Michael Kim G Peter Malnati,,Russell Henley,G,14.34%,0
14,5202388997,giantsquid (24/150),378,145,G Xander Schauffele G Wyndham Clark G Rickie Fowler G Keegan Bradley G Rasmus Neergaard-Petersen G Michael Kim,,Ben Griffin,G,14.28%,0
14,5202007526,Emanon55,375,145,G Chris Gotterup G Jackson Koivun G Hideki Matsuyama G Michael Kim G Danny Walker G Peter Malnati,,Jackson Suber,G,13.91%,0
16,5201586036,palmprop1 (1/2),378,144.5,G Cameron Young G Jackson Koivun G Rickie Fowler G Keegan Bradley G Ricky Castillo G Tony Finau,,Akshay Bhatia,G,13.73%,12
17,5201265409,LPZ260,377,143.5,G Chris Gotterup G Si Woo Kim G Russell Henley G Rickie Fowler G Christiaan Bezuidenhout G Peter Malnati,,Ryo Hisatsune,G,13.57%,0
18,5201731285,tempo62 (5/11),371,141,G Chris Gotterup G Jackson Koivun G Rickie Fowler G Keegan Bradley G Pierceson Coody G Seamus Power,,Patrick Cantlay,G,12.77%,0
19,5200296040,browner24ia (72/150),379,140,G Xander Schauffele G Si Woo Kim G Rickie Fowler G Rasmus Neergaard-Petersen G Michael Kim G Chris Kirk,,Rickie Fowler,G,12.29%,38
19,5202949774,drendina (67/150),378,140,G Xander Schauffele G Si Woo Kim G Keegan Bradley G Matt Wallace G Michael Kim G Chris Kirk,,Michael Thorbjornsen,G,12.16%,0
19,5202687494,btbybee,369,140,G Chris Gotterup G Jackson Koivun G Wyndham Clark G Michael Kim G Kevin Yu G Stephan Jaeger,,Davis Thompson,G,12.15%,8
19,5201974580,Brianxll (33/97),364,140,G Jackson Koivun G Wyndham Clark G Rickie Fowler G Keegan Bradley G Eric Cole G Seamus Power,,Nicolai Højgaard,G,10.30%,0
23,5203108487,CMACXIMUS (1/2),382,139.5,G Chris Gotterup G Si Woo Kim G Jackson Koivun G Hideki Matsuyama G Gordon Sargent G Peter Malnati,,Corey Conners,G,9.37%,0
23,5202675022,MasterJ12thMan,368,139.5,G Xander Schauffele G Wyndham Clark G Rickie Fowler G Keegan Bradley G Andrew Novak G Tony Finau,,Michael Brennan,G,9.32%,0
