Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5195850408,GoyimStrikeBack (42/66),324,289,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Emiliano Grillo G Ben Kohles G Jesper Svensson,,Scottie Scheffler,G,27.30%,41
2,5195965255,mustafael (104/150),324,272.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Billy Horschel G Kevin Roy G Chandler Phillips,,Kurt Kitayama,G,22.14%,27
3,5196445970,tdenbeste (77/98),324,266.5,G Kurt Kitayama G Jackson Koivun G Gary Woodland G Michael Brennan G Emiliano Grillo G Lucas Glover,,Tom Kim,G,19.61%,22.5
4,5194653504,Ceddd25 (4/9),324,262.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Lucas Glover,,Ben Kohles,G,18.47%,67
4,5194916211,lazer14,324,262.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Kevin Roy G Aaron Wise,,Hideki Matsuyama,G,17.43%,18
4,5195021706,BlueVooDoo223 (9/17),324,262.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Lucas Glover,,Maverick McNealy,G,16.43%,12
4,5195493975,mdm4432 (2/6),324,262.5,G Kurt Kitayama G Tom Kim G Gary Woodland G Emiliano Grillo G Ben Kohles G Lucas Glover,,Benjamin James,G,16.22%,14.5
4,5195889904,sharkdaddy2234 (2/5),324,262.5,G Kurt Kitayama G Tom Kim G Gary Woodland G Emiliano Grillo G Ben Kohles G Lucas Glover,,Mac Meissner,G,14.54%,14
4,5195951428,fairwayfool (23/25),324,262.5,G Kurt Kitayama G Tom Kim G Jackson Koivun G Emiliano Grillo G Ben Kohles G Lucas Glover,,Jackson Suber,G,14.34%,22.5
10,5196332220,hzdaniel (18/33),324,262,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Kevin Roy G Paul Peterson,,Corey Conners,G,13.87%,14.5
11,5196196209,TERRYBECK (30/150),324,261.5,G Hideki Matsuyama G Jackson Koivun G Gary Woodland G Rasmus Neergaard-Petersen G Ben Kohles G Jesper Svensson,,Zac Blair,G,13.32%,22.5
12,5195246924,Dpac2 (39/150),324,261,G Kurt Kitayama G Jackson Koivun G Sam Stevens G Michael Brennan G Emiliano Grillo G Ben Kohles,,Keith Mitchell,G,12.74%,21
12,5195424008,SPECIALED53 (140/150),324,261,G Kurt Kitayama G Keith Mitchell G Gary Woodland G Emiliano Grillo G Ben Kohles G Lucas Glover,,Jackson Koivun,G,12.73%,49.5
12,5196819144,bothbasketballs (94/150),324,261,G Kurt Kitayama G Jackson Koivun G Sam Stevens G Michael Brennan G Emiliano Grillo G Ben Kohles,,Casey Jarvis,G,12.70%,12
15,5195811161,Sportmanwin (80/139),324,259.5,G Jake Knapp G Jackson Koivun G Jackson Suber G Michael Brennan G Emiliano Grillo G Ben Kohles,,Max Homa,G,12.11%,13
16,5196446926,tdenbeste (79/98),324,258,G Kurt Kitayama G Hideki Matsuyama G Gary Woodland G Emiliano Grillo G Ben Kohles G Lucas Glover,,Doug Ghim,G,11.69%,18
17,5196216167,nagasai (96/150),324,257.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Lucas Glover G Zac Blair G Vince Whaley,,Christiaan Bezuidenhout,G,11.10%,21
17,5196381005,chazemclean (84/150),324,257.5,G Scottie Scheffler G Emiliano Grillo G Ben Kohles G Jesper Svensson G Chandler Phillips G Joel Dahmen,,Jordan L. Smith,G,10.40%,14
