Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5209238290,dxb13 (55/150),333,245.5,G Justin Thomas G Tom Kim G Michael Brennan G Davis Thompson G Benjamin James G Beau Hossler,,Cameron Young,G,40.64%,17.5
2,5208642872,gchmiele (50/54),328,245,G Justin Thomas G Tom Kim G Davis Thompson G Mac Meissner G Doug Ghim G Beau Hossler,,Hideki Matsuyama,G,28.06%,22
3,5209292116,dakdakgoose (70/150),330,240.5,G Cameron Young G Tom Kim G Davis Thompson G Sungjae Im G Sahith Theegala G Beau Hossler,,Jackson Koivun,G,23.67%,8.5
4,5207234817,pissontheliberals (114/150),328,240,G Cameron Young G Tom Kim G Davis Thompson G Doug Ghim G Jackson Suber G Beau Hossler,,Ryan Gerard,G,21.20%,12
5,5207758227,flashy84 (66/150),324,235.5,G Justin Thomas G Tom Kim G Michael Brennan G Davis Thompson G Bud Cauley G Beau Hossler,,Tom Kim,G,20.74%,35.5
6,5209238286,dxb13 (51/150),339,233.5,G Ryan Gerard G Tom Kim G Alex Fitzpatrick G Davis Thompson G Benjamin James G Beau Hossler,,Ben Griffin,G,19.96%,16
6,5209238287,dxb13 (52/150),339,233.5,G Ryan Gerard G Tom Kim G Alex Fitzpatrick G Davis Thompson G Benjamin James G Beau Hossler,,Aaron Rai,G,19.16%,16.5
8,5209110302,wmgilpin (33/150),333,233,G Cameron Young G Tom Kim G Davis Thompson G Rasmus Højgaard G Sahith Theegala G Beau Hossler,,Blades Brown,G,18.53%,1.5
9,5208115776,helpthebear (19/143),343,232,G Cameron Young G Davis Thompson G Doug Ghim G Bud Cauley G Benjamin James G Sahith Theegala,,Ben Kohles,G,16.85%,25.5
9,5208361233,helpthebear (85/143),343,232,G Cameron Young G Davis Thompson G Doug Ghim G Bud Cauley G Benjamin James G Sahith Theegala,,Alex Fitzpatrick,G,15.88%,30.5
11,5207747441,crowandthrow (48/150),334,230.5,G Hideki Matsuyama G Tom Kim G Michael Brennan G Doug Ghim G Ben Kohles G Beau Hossler,,Justin Thomas,G,15.77%,27
11,5209569332,isaakuerickson (49/150),334,230.5,G Hideki Matsuyama G Maverick McNealy G Doug Ghim G Ben Kohles G Jordan L. Smith G Beau Hossler,,Sungjae Im,G,15.57%,25
13,5208839419,steel_66 (91/150),337,229.5,G Alex Fitzpatrick G Davis Thompson G Doug Ghim G Ben Kohles G Jordan L. Smith G Benjamin James,,Mac Meissner,G,15.25%,18
14,5207234733,pissontheliberals (30/150),328,229,G Cameron Young G Tom Kim G Mac Meissner G Doug Ghim G Jordan L. Smith G Beau Hossler,,Davis Thompson,G,15.24%,44.5
15,5209299211,deckeron (145/150),336,228.5,G Davis Thompson G Brian Harman G Sahith Theegala G Jackson Suber G Billy Horschel G Beau Hossler,,Ryo Hisatsune,G,13.47%,5.5
15,5209214879,UltimateWin4 (79/150),334,228.5,G Cameron Young G Hideki Matsuyama G Doug Ghim G Jordan L. Smith G Bud Cauley G Beau Hossler,,Doug Ghim,G,12.94%,50
17,5208938638,cw1tt (12/150),334,226.5,G Hideki Matsuyama G Tom Kim G Keegan Bradley G Doug Ghim G Bud Cauley G Beau Hossler,,Harris English,G,11.50%,10.5
17,5207352238,sportsfanatic89 (90/150),328,226.5,G Keegan Bradley G Aaron Rai G Michael Brennan G Davis Thompson G Doug Ghim G Beau Hossler,,Jordan L. Smith,G,11.14%,38
19,5208223807,jr_dk (144/150),345,224,G Jackson Koivun G Hideki Matsuyama G Davis Thompson G Jordan L. Smith G Benjamin James G Beau Hossler,,Bud Cauley,G,11.00%,31
19,5208350244,Damonri (85/150),343,224,G Cameron Young G Tom Kim G Alex Noren G Doug Ghim G Benjamin James G Beau Hossler,,Maverick McNealy,G,10.79%,25
19,5209177753,leszigler (89/150),343,224,G Cameron Young G Tom Kim G Alex Noren G Doug Ghim G Benjamin James G Beau Hossler,,J.T. Poston,G,10.15%,12
19,5207234797,pissontheliberals (94/150),339,224,G Tom Kim G Ben Griffin G Maverick McNealy G Keith Mitchell G Doug Ghim G Beau Hossler,,Brian Harman,G,10.10%,10
23,5209292166,dakdakgoose (120/150),340,223.5,G Tom Kim G Ben Griffin G Aaron Rai G Davis Thompson G Benjamin James G Beau Hossler,,Keegan Bradley,G,9.56%,18
23,5209501381,DDev32 (94/150),337,223.5,G Justin Thomas G Tom Kim G Davis Thompson G Doug Ghim G Ben Kohles G Benjamin James,,Alex Smalley,G,9.30%,16
23,5208628056,jkat2016 (137/150),334,223.5,G Ryan Gerard G Keegan Bradley G Alex Fitzpatrick G Doug Ghim G Denny McCarthy G Beau Hossler,,Keith Mitchell,G,9.16%,27.5
23,5209531141,hall-d (38/62),328,223.5,G Cameron Young G Alex Fitzpatrick G Davis Thompson G Doug Ghim G Jordan L. Smith G Denny McCarthy,,Christiaan Bezuidenhout,G,9.12%,19.5
27,5209242021,vargas_63 (76/150),334,223,G Hideki Matsuyama G Maverick McNealy G Keegan Bradley G Doug Ghim G Jordan L. Smith G Beau Hossler,,Matt Wallace,G,8.81%,6.5
28,5208318035,bryanbigbets (66/150),334,222.5,G Jackson Koivun G Justin Thomas G Davis Thompson G Doug Ghim G Jackson Suber G Beau Hossler,,Michael Kim,G,8.79%,14
28,5209615756,prime8 (57/150),334,222.5,G Jackson Koivun G Justin Thomas G Davis Thompson G Doug Ghim G Jackson Suber G Beau Hossler,,Emiliano Grillo,G,8.28%,21.5
30,5207234838,pissontheliberals (135/150),334,222,G Hideki Matsuyama G Tom Kim G Maverick McNealy G Doug Ghim G Christiaan Bezuidenhout G Beau Hossler,,Chris Kirk,G,7.34%,8.5
31,5208158830,slpendy (77/150),342,221.5,G Cameron Young G Tom Kim G Keith Mitchell G Sahith Theegala G Lee Hodges G Beau Hossler,,Alex Noren,G,7.13%,10
32,5208279667,yodakk (75/150),337,221,G Cameron Young G Ben Griffin G Davis Thompson G Sungjae Im G Sahith Theegala G Beau Hossler,,Benjamin James,G,6.55%,41
32,5209279441,22Mossski30 (143/150),334,221,G Jackson Koivun G Michael Brennan G Davis Thompson G Keith Mitchell G Denny McCarthy G Beau Hossler,,Michael Brennan,G,6.32%,27.5
32,5208839374,steel_66 (46/150),330,221,G Hideki Matsuyama G Tom Kim G Aaron Rai G Davis Thompson G Kevin Yu G Beau Hossler,,Zac Blair,G,6.04%,19.5
32,5208971044,bigdaddy507,330,221,G Cameron Young G Tom Kim G Alex Fitzpatrick G Sahith Theegala G Zac Blair G Beau Hossler,,Brooks Koepka,G,5.73%,22.5
