Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS,,,,,,,,,,,,,,
1,5209025816,Thew_11,328,211.5,G Tom Kim G Keegan Bradley G Davis Thompson G Doug Ghim G Ben Kohles G Jordan L. Smith,,Cameron Young,G,39.90%,17.5,,Tom,Kim,Keegan,Bradley,Davis,Thompson,Doug,him,Ben,Kohles,Jordan,L.,Smith
2,5208688207,OttenVT03,333,206,G Cameron Young G Tom Kim G Davis Thompson G Doug Ghim G Max Greyserman G Matti Schmid,,Hideki Matsuyama,G,33.55%,22,,,,,,,,,,,,,,
3,5209365713,gnutter0330,345,205.5,G Jackson Koivun G Hideki Matsuyama G Davis Thompson G Christiaan Bezuidenhout G Benjamin James G Beau Hossler,,Blades Brown,G,32.53%,1.5,,,,,,,,,,,,,,
4,5208652789,meghannault,328,200.5,G Cameron Young G Davis Thompson G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Ben Kohles,G,28.13%,25.5,,,,,,,,,,,,,,
5,5207700389,PRsells,324,199,G Cameron Young G Aaron Rai G Davis Thompson G Sungjae Im G Ben Kohles G Beau Hossler,,Tom Kim,G,26.46%,35.5,,,,,,,,,,,,,,
6,5209148129,Boomerpoodle,328,196,G Cameron Young G Aaron Rai G Brooks Koepka G Doug Ghim G Christiaan Bezuidenhout G Beau Hossler,,Ryan Gerard,G,23.75%,12,,,,,,,,,,,,,,
6,5209739108,Ted_22,324,196,G Cameron Young G Tom Kim G Davis Thompson G Sungjae Im G Denny McCarthy G Rico Hoey,,Jackson Koivun,G,23.08%,8.5,,,,,,,,,,,,,,
8,5209092933,marksda3,348,195,G Hideki Matsuyama G Tom Kim G Keegan Bradley G Doug Ghim G Sahith Theegala G Emiliano Grillo,,Davis Thompson,G,20.90%,44.5,,,,,,,,,,,,,,
8,5209517067,vikinggod911,324,195,G Justin Thomas G Maverick McNealy G Aaron Rai G Davis Thompson G J.T. Poston G Beau Hossler,,Aaron Rai,G,19.18%,16.5,,,,,,,,,,,,,,
10,5207455508,JasonTheRube,324,194.5,G Tom Kim G Keegan Bradley G Michael Brennan G Davis Thompson G Jordan L. Smith G Bud Cauley,,Ben Griffin,G,18.13%,16,,,,,,,,,,,,,,
11,5209352271,shorty043,353,193.5,G Cameron Young G Tom Kim G Doug Ghim G Blades Brown G Benjamin James G Sahith Theegala,,Sungjae Im,G,17.72%,25,,,,,,,,,,,,,,
11,5209712771,rwt2617,352,193.5,G Hideki Matsuyama G Tom Kim G Ben Griffin G Bud Cauley G Benjamin James G Sahith Theegala,,Alex Fitzpatrick,G,16.61%,30.5,,,,,,,,,,,,,,
11,5208096679,Skrod,328,193.5,G Cameron Young G Davis Thompson G Mac Meissner G Doug Ghim G Ben Kohles G Jordan L. Smith,,Ryo Hisatsune,G,16.47%,5.5,,,,,,,,,,,,,,
14,5209543115,wallstreet2201,330,193,G Cameron Young G Jackson Koivun G Davis Thompson G Ricky Castillo G Beau Hossler G Matthew McCarty,,Mac Meissner,G,15.77%,18,,,,,,,,,,,,,,
15,5207441221,navyhmcm,340,192.5,G Ben Griffin G Michael Brennan G Davis Thompson G Ben Kohles G Jordan L. Smith G Benjamin James,,Justin Thomas,G,14.37%,27,,,,,,,,,,,,,,
16,5209641356,lynch_nation,330,191.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Davis Thompson G Denny McCarthy G Matthew McCarty,,Brian Harman,G,11.34%,10,,,,,,,,,,,,,,
17,5207675309,19jenny88,351,191,G Hideki Matsuyama G Ryan Gerard G Maverick McNealy G Benjamin James G Sahith Theegala G Denny McCarthy,,Michael Kim,G,11.19%,14,,,,,,,,,,,,,,
18,5207454230,BobbyFi,337,189,G Cameron Young G Tom Kim G Doug Ghim G Ben Kohles G Christiaan Bezuidenhout G Benjamin James,,Bud Cauley,G,10.96%,31,,,,,,,,,,,,,,
19,5209443914,tbone0136,337,188.5,G Justin Thomas G Ben Griffin G Alex Fitzpatrick G Davis Thompson G Sahith Theegala G Ricky Castillo,,J.T. Poston,G,10.32%,12,,,,,,,,,,,,,,
19,5209582111,osomoney,335,188.5,G Justin Thomas G Tom Kim G Davis Thompson G Keith Mitchell G Alex Smalley G Jordan L. Smith,,Emiliano Grillo,G,9.56%,21.5,,,,,,,,,,,,,,
19,5209120074,bozach49,334,188.5,G Cameron Young G Tom Kim G Davis Thompson G Blades Brown G Zac Blair G Beau Hossler,,Chris Kirk,G,9.41%,8.5,,,,,,,,,,,,,,
22,5209656555,dyun10,334,188,G Cameron Young G Aaron Rai G Davis Thompson G Blades Brown G Jordan L. Smith G Beau Hossler,,Christiaan Bezuidenhout,G,8.98%,19.5,,,,,,,,,,,,,,
23,5209700948,ryan12341234,337,186.5,G Hideki Matsuyama G Ben Griffin G Alex Fitzpatrick G Davis Thompson G Denny McCarthy G Rico Hoey,,Alex Smalley,G,8.22%,16,,,,,,,,,,,,,,
23,5209554254,royhobbs09,333,186.5,G Hideki Matsuyama G Tom Kim G Maverick McNealy G Rasmus Højgaard G Kevin Roy G Beau Hossler,,Doug Ghim,G,7.49%,50,,,,,,,,,,,,,,
23,5209278788,Oldy9,328,186.5,G Cameron Young G Alex Fitzpatrick G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Zac Blair,G,7.46%,19.5,,,,,,,,,,,,,,
23,5209099197,loughjef,324,186.5,G Justin Thomas G Tom Kim G Maverick McNealy G Sungjae Im G Bud Cauley G Denny McCarthy,,Jordan L. Smith,G,7.46%,38,,,,,,,,,,,,,,
27,5208915375,xG00NIEx,344,186,G Hideki Matsuyama G Tom Kim G Davis Thompson G Doug Ghim G Blades Brown G Kevin Yu,,Keegan Bradley,G,7.40%,18,,,,,,,,,,,,,,
27,5207263275,Tbone1230,334,186,G Tom Kim G Maverick McNealy G Alex Fitzpatrick G Keith Mitchell G Christiaan Bezuidenhout G Sahith Theegala,,Brooks Koepka,G,6.88%,22.5,,,,,,,,,,,,,,
27,5209515931,Jazzraz,330,186,G Hideki Matsuyama G Justin Thomas G Alex Fitzpatrick G Ben Kohles G Jordan L. Smith G Denny McCarthy,,Matt Wallace,G,6.70%,6.5,,,,,,,,,,,,,,
30,5209402970,twett5,345,185.5,G Cameron Young G Ben Griffin G Davis Thompson G Jordan L. Smith G Sahith Theegala G Emiliano Grillo,,Keith Mitchell,G,6.35%,27.5,,,,,,,,,,,,,,
30,5209349882,LoganDFS812,328,185.5,G Cameron Young G Tom Kim G Mac Meissner G Doug Ghim G Bud Cauley G Billy Horschel,,Maverick McNealy,G,6.00%,25,,,,,,,,,,,,,,
32,5209498951,chisox33,334,185,G Cameron Young G Hideki Matsuyama G Doug Ghim G Sungjae Im G Jordan L. Smith G Kevin Yu,,Benjamin James,G,5.97%,41,,,,,,,,,,,,,,
32,5207708732,rydogg,328,185,G Tom Kim G Alex Fitzpatrick G Michael Brennan G Harris English G Doug Ghim G Bud Cauley,,Sahith Theegala,G,5.89%,48,,,,,,,,,,,,,,
32,5208843334,RobT72,324,185,G Cameron Young G Tom Kim G Davis Thompson G Jordan L. Smith G Christiaan Bezuidenhout G Matthew McCarty,,Michael Brennan,G,5.57%,27.5,,,,,,,,,,,,,,
35,5209003427,tabjab,324,184.5,G Cameron Young G Tom Kim G Alex Fitzpatrick G Jordan L. Smith G Kevin Yu G Rico Hoey,,Jordan Spieth,G,5.42%,12,,,,,,,,,,,,,,
36,5208770714,GordonBombayOBV,353,182.5,G Jackson Koivun G Ryan Gerard G Tom Kim G Benjamin James G Max McGreevy G Beau Hossler,,Ricky Castillo,G,5.30%,22.5,,,,,,,,,,,,,,
36,5208912188,sixsixx,341,182.5,G Cameron Young G Tom Kim G Davis Thompson G Benjamin James G Emiliano Grillo G Ricky Castillo,,Harris English,G,5.16%,10.5,,,,,,,,,,,,,,
36,5207520563,moyboy14,330,182.5,G Hideki Matsuyama G Tom Kim G Alex Fitzpatrick G Ben Kohles G Jordan L. Smith G Bud Cauley,,Denny McCarthy,G,4.46%,43,,,,,,,,,,,,,,
39,5208940584,Doublemeat54,341,182,G Cameron Young G Ben Griffin G Doug Ghim G Sungjae Im G Ben Kohles G Sahith Theegala,,Billy Horschel,G,4.31%,33.5,,,,,,,,,,,,,,
39,5209770038,chadmn01,336,182,G Cameron Young G Tom Kim G Mac Meissner G Doug Ghim G Jordan L. Smith G Lee Hodges,,Alex Noren,G,4.28%,10,,,,,,,,,,,,,,
39,5207893578,NY44,332,182,G Cameron Young G Tom Kim G Mac Meissner G Christiaan Bezuidenhout G Eric Cole G Beau Hossler,,Matthew McCarty,G,4.11%,30,,,,,,,,,,,,,,
42,5208545395,dnowicki1511,336,181,G Cameron Young G Tom Kim G Doug Ghim G Ben Kohles G Bud Cauley G Emiliano Grillo,,Rasmus Højgaard,G,3.82%,17.5,,,,,,,,,,,,,,
42,5209237249,VeNoM_DO,336,181,G Hideki Matsuyama G Tom Kim G Brian Harman G Mac Meissner G Ben Kohles G Beau Hossler,,Jackson Suber,G,3.58%,22.5,,,,,,,,,,,,,,
42,5209671038,boilers3388,336,181,G Hideki Matsuyama G Tom Kim G Maverick McNealy G Christiaan Bezuidenhout G Bud Cauley G Sahith Theegala,,Nick Taylor,G,3.09%,9.5,,,,,,,,,,,,,,
45,5209256818,futureoffantasy,342,180.5,G Jackson Koivun G Alex Fitzpatrick G Davis Thompson G Doug Ghim G Ben Kohles G Emiliano Grillo,,Kris Ventura,G,2.89%,21.5,,,,,,,,,,,,,,
45,5209578467,klskate79,340,180.5,G Hideki Matsuyama G Tom Kim G Maverick McNealy G Keith Mitchell G Sahith Theegala G Ricky Castillo,,Eric Cole,G,2.56%,21.5,,,,,,,,,,,,,,
45,5209671326,gillian_smith0286,334,180.5,G Cameron Young G Tom Kim G Mac Meissner G Blades Brown G Jordan L. Smith G Beau Hossler,,Chandler Phillips,G,2.39%,12.5,,,,,,,,,,,,,,
45,5209180321,aallen752000,330,180.5,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Michael Brennan G Sahith Theegala G Jackson Suber,,Davis Chatfield,G,2.33%,25.5,,,,,,,,,,,,,,
49,5209768638,kfalik,334,180,G Cameron Young G Justin Thomas G Jordan Spieth G Doug Ghim G Pierceson Coody G Beau Hossler,,Sepp Straka,G,2.19%,5,,,,,,,,,,,,,,
