HOLE-BY-HOLE DETAIL,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 8/31/2026, 6:13:47 AM",,,,,,,,,
,,,,,,,,,
Player,Player ID,Round,Hole,Par,Strokes,Score Type,To Par,Round Score,Round To Par
Xander Schauffele,10140,1,1,4,4,Par,E,67,-3
Xander Schauffele,10140,1,2,3,3,Par,E,67,-3
Xander Schauffele,10140,1,3,4,3,Birdie,-1,67,-3
Xander Schauffele,10140,1,4,4,4,Par,E,67,-3
Xander Schauffele,10140,1,5,4,4,Par,E,67,-3
Xander Schauffele,10140,1,6,5,4,Birdie,-1,67,-3
Xander Schauffele,10140,1,7,4,4,Par,E,67,-3
Xander Schauffele,10140,1,8,4,4,Par,E,67,-3
Xander Schauffele,10140,1,9,3,4,Bogey,+1,67,-3
Xander Schauffele,10140,1,10,4,4,Par,E,67,-3
Xander Schauffele,10140,1,11,3,3,Par,E,67,-3
Xander Schauffele,10140,1,12,4,4,Par,E,67,-3
Xander Schauffele,10140,1,13,4,3,Birdie,-1,67,-3
Xander Schauffele,10140,1,14,4,4,Par,E,67,-3
Xander Schauffele,10140,1,15,3,2,Birdie,-1,67,-3
Xander Schauffele,10140,1,16,4,4,Par,E,67,-3
Xander Schauffele,10140,1,17,4,5,Bogey,+1,67,-3
Xander Schauffele,10140,1,18,5,4,Birdie,-1,67,-3
Xander Schauffele,10140,2,1,4,5,Bogey,+1,71,+1
Xander Schauffele,10140,2,2,3,3,Par,E,71,+1
Xander Schauffele,10140,2,3,4,3,Birdie,-1,71,+1
Xander Schauffele,10140,2,4,4,3,Birdie,-1,71,+1
Xander Schauffele,10140,2,5,4,4,Par,E,71,+1
Xander Schauffele,10140,2,6,5,4,Birdie,-1,71,+1
Xander Schauffele,10140,2,7,4,4,Par,E,71,+1
Xander Schauffele,10140,2,8,4,5,Bogey,+1,71,+1
Xander Schauffele,10140,2,9,3,3,Par,E,71,+1
Xander Schauffele,10140,2,10,4,4,Par,E,71,+1
Xander Schauffele,10140,2,11,3,3,Par,E,71,+1
Xander Schauffele,10140,2,12,4,4,Par,E,71,+1
Xander Schauffele,10140,2,13,4,3,Birdie,-1,71,+1
Xander Schauffele,10140,2,14,4,5,Bogey,+1,71,+1
Xander Schauffele,10140,2,15,3,5,Double Bogey,+2,71,+1
Xander Schauffele,10140,2,16,4,3,Birdie,-1,71,+1
Xander Schauffele,10140,2,17,4,5,Bogey,+1,71,+1
Xander Schauffele,10140,2,18,5,5,Par,E,71,+1
Xander Schauffele,10140,3,1,4,4,Par,E,67,-3
Xander Schauffele,10140,3,2,3,3,Par,E,67,-3
Xander Schauffele,10140,3,3,4,4,Par,E,67,-3
Xander Schauffele,10140,3,4,4,4,Par,E,67,-3
Xander Schauffele,10140,3,5,4,4,Par,E,67,-3
Xander Schauffele,10140,3,6,5,5,Par,E,67,-3
Xander Schauffele,10140,3,7,4,4,Par,E,67,-3
Xander Schauffele,10140,3,8,4,3,Birdie,-1,67,-3
Xander Schauffele,10140,3,9,3,3,Par,E,67,-3
Xander Schauffele,10140,3,10,4,3,Birdie,-1,67,-3
Xander Schauffele,10140,3,11,3,3,Par,E,67,-3
Xander Schauffele,10140,3,12,4,4,Par,E,67,-3
Xander Schauffele,10140,3,13,4,4,Par,E,67,-3
Xander Schauffele,10140,3,14,4,4,Par,E,67,-3
Xander Schauffele,10140,3,15,3,2,Birdie,-1,67,-3
Xander Schauffele,10140,3,16,4,5,Bogey,+1,67,-3
Xander Schauffele,10140,3,17,4,3,Birdie,-1,67,-3
Xander Schauffele,10140,3,18,5,5,Par,E,67,-3
Xander Schauffele,10140,4,1,4,4,Par,E,66,-4
Xander Schauffele,10140,4,2,3,3,Par,E,66,-4
Xander Schauffele,10140,4,3,4,4,Par,E,66,-4
Xander Schauffele,10140,4,4,4,4,Par,E,66,-4
Xander Schauffele,10140,4,5,4,4,Par,E,66,-4
Xander Schauffele,10140,4,6,5,4,Birdie,-1,66,-4
Xander Schauffele,10140,4,7,4,4,Par,E,66,-4
Xander Schauffele,10140,4,8,4,4,Par,E,66,-4
Xander Schauffele,10140,4,9,3,3,Par,E,66,-4
Xander Schauffele,10140,4,10,4,4,Par,E,66,-4
Xander Schauffele,10140,4,11,3,3,Par,E,66,-4
Xander Schauffele,10140,4,12,4,4,Par,E,66,-4
Xander Schauffele,10140,4,13,4,4,Par,E,66,-4
Xander Schauffele,10140,4,14,4,4,Par,E,66,-4
Xander Schauffele,10140,4,15,3,2,Birdie,-1,66,-4
Xander Schauffele,10140,4,16,4,4,Par,E,66,-4
Xander Schauffele,10140,4,17,4,3,Birdie,-1,66,-4
Xander Schauffele,10140,4,18,5,4,Birdie,-1,66,-4
J.J. Spaun,10166,1,1,4,4,Par,E,23,+4
J.J. Spaun,10166,1,2,3,4,Bogey,+1,23,+4
J.J. Spaun,10166,1,3,4,6,Double Bogey,+2,23,+4
J.J. Spaun,10166,1,4,4,5,Bogey,+1,23,+4
J.J. Spaun,10166,1,5,4,4,Par,E,23,+4
Collin Morikawa,10592,1,1,4,5,Bogey,+1,64,-6
Collin Morikawa,10592,1,2,3,2,Birdie,-1,64,-6
Collin Morikawa,10592,1,3,4,3,Birdie,-1,64,-6
Collin Morikawa,10592,1,4,4,3,Birdie,-1,64,-6
Collin Morikawa,10592,1,5,4,4,Par,E,64,-6
Collin Morikawa,10592,1,6,5,4,Birdie,-1,64,-6
Collin Morikawa,10592,1,7,4,4,Par,E,64,-6
Collin Morikawa,10592,1,8,4,4,Par,E,64,-6
Collin Morikawa,10592,1,9,3,3,Par,E,64,-6
Collin Morikawa,10592,1,10,4,4,Par,E,64,-6
Collin Morikawa,10592,1,11,3,3,Par,E,64,-6
Collin Morikawa,10592,1,12,4,3,Birdie,-1,64,-6
Collin Morikawa,10592,1,13,4,4,Par,E,64,-6
Collin Morikawa,10592,1,14,4,3,Birdie,-1,64,-6
Collin Morikawa,10592,1,15,3,3,Par,E,64,-6
Collin Morikawa,10592,1,16,4,4,Par,E,64,-6
Collin Morikawa,10592,1,17,4,4,Par,E,64,-6
Collin Morikawa,10592,1,18,5,4,Birdie,-1,64,-6
Collin Morikawa,10592,2,1,4,4,Par,E,67,-3
Collin Morikawa,10592,2,2,3,3,Par,E,67,-3
Collin Morikawa,10592,2,3,4,4,Par,E,67,-3
Collin Morikawa,10592,2,4,4,4,Par,E,67,-3
Collin Morikawa,10592,2,5,4,4,Par,E,67,-3
Collin Morikawa,10592,2,6,5,4,Birdie,-1,67,-3
Collin Morikawa,10592,2,7,4,4,Par,E,67,-3
Collin Morikawa,10592,2,8,4,4,Par,E,67,-3
Collin Morikawa,10592,2,9,3,3,Par,E,67,-3
Collin Morikawa,10592,2,10,4,4,Par,E,67,-3
Collin Morikawa,10592,2,11,3,3,Par,E,67,-3
Collin Morikawa,10592,2,12,4,4,Par,E,67,-3
Collin Morikawa,10592,2,13,4,4,Par,E,67,-3
Collin Morikawa,10592,2,14,4,3,Birdie,-1,67,-3
Collin Morikawa,10592,2,15,3,3,Par,E,67,-3
Collin Morikawa,10592,2,16,4,4,Par,E,67,-3
Collin Morikawa,10592,2,17,4,4,Par,E,67,-3
Collin Morikawa,10592,2,18,5,4,Birdie,-1,67,-3
Collin Morikawa,10592,3,1,4,4,Par,E,72,+2
Collin Morikawa,10592,3,2,3,3,Par,E,72,+2
