Event Name,Last Update,Current Round,Dead Heat Rules,Player Name,DG ID,Player Num,Country,Current Pos,Current Score,Today,Thru,Round,End Hole,Make Cut,Win %,Top 5 %,Top 20 %
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Scheffler, Scottie",18417,,USA,1,-13,-2,15,3,18,1,0.68312,0.97404,0.9994
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Burns, Sam",19483,,USA,2,-11,-8,18,3,18,1,0.16644,0.85772,0.99392
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Im, Sungjae",17488,,KOR,3,-10,-2,15,3,18,1,0.07428,0.69192,0.97428
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Fleetwood, Tommy",12294,,ENG,T4,-8,-2,16,3,18,1,0.02204,0.47588,0.9396
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Knapp, Jake",19396,,USA,T4,-8,-3,18,3,18,1,0.01192,0.36908,0.9076
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Matsuyama, Hideki",13562,,JPN,T6,-7,-3,18,3,18,1,0.00944,0.34544,0.90988
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Kim, Si Woo",14609,,KOR,T6,-7,-5,18,3,18,1,0.00932,0.34812,0.91168
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Noren, Alex",10419,,SWE,T6,-7,-4,18,3,18,1,0.00528,0.26276,0.8768
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Harman, Brian",8825,,USA,T6,-7,-1,17,3,18,1,0.00408,0.2404,0.85344
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Hovland, Viktor",18841,,NOR,T13,-5,3,15,3,18,1,0.0024,0.13696,0.71908
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Kim, Tom",24766,,KOR,T10,-6,-7,18,3,18,1,0.0022,0.19016,0.82012
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Kitayama, Kurt",21891,,USA,T10,-6,-4,18,3,18,1,0.00204,0.15984,0.78232
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Echavarria, Nico",22833,,COL,T10,-6,0,16,3,18,1,0.00144,0.10192,0.66416
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Gotterup, Chris",27774,,USA,T13,-5,-1,18,3,18,1,0.0014,0.10936,0.71088
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Clark, Wyndham",23604,,USA,T13,-5,0,18,3,18,1,0.00104,0.09072,0.67332
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Cantlay, Patrick",15466,,USA,T13,-5,0,18,3,18,1,0.0006,0.10164,0.7174
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Scott, Adam",6430,,AUS,T13,-5,-1,18,3,18,1,0.00052,0.06464,0.61776
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Poston, J.T.",21554,,USA,T13,-5,-4,18,3,18,1,0.00048,0.0562,0.61128
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Fitzpatrick, Matt",17646,,ENG,T19,-4,-1,18,3,18,1,0.00048,0.0582,0.6178
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Spieth, Jordan",14636,,USA,T19,-4,2,17,3,18,1,0.00028,0.03112,0.46672
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Spaun, J.J.",17536,,USA,T22,-3,-3,18,3,18,1,0.00024,0.01652,0.40184
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Schauffele, Xander",19895,,USA,T22,-3,-2,18,3,18,1,0.00016,0.03268,0.48364
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Henley, Russell",14578,,USA,T32,-2,-3,18,3,18,1,0.00012,0.00704,0.28108
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Koivun, Jackson",32319,,USA,T22,-3,-4,18,3,18,1,0.00008,0.02092,0.41976
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Taylor, Nick",13126,,CAN,T19,-4,-1,18,3,18,1,0.00008,0.02668,0.47764
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Gerard, Ryan",29767,,USA,T32,-2,-2,18,3,18,1,0.00008,0.00796,0.27132
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Bridgeman, Jacob",29433,,USA,T22,-3,-2,18,3,18,1,0.00008,0.014,0.36132
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"McNealy, Maverick",18634,,USA,T22,-3,-1,18,3,18,1,0.00008,0.01916,0.40148
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Mitchell, Keith",17365,,USA,T22,-3,2,18,3,18,1,0.00004,0.0116,0.33828
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Rodgers, Patrick",16283,,USA,T22,-3,1,18,3,18,1,0.00004,0.00596,0.2348
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Fowler, Rickie",12965,,USA,T22,-3,-4,18,3,18,1,0.00004,0.01632,0.38296
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Young, Cameron",26651,,USA,T41,0,2,18,3,18,1,0.00004,0.00128,0.10696
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Smalley, Alex",18474,,USA,T32,-2,2,18,3,18,1,0.00004,0.00548,0.23892
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Stevens, Sam",25569,,USA,T41,0,0,18,3,18,1,0.00004,0.00024,0.04592
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Aberg, Ludvig",23950,,SWE,T32,-2,5,15,3,18,1,0.00004,0.01972,0.34784
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Potgieter, Aldrich",27900,,RSA,T57,4,2,18,3,18,1,0,0,0.00052
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Rai, Aaron",18554,,ENG,T38,-1,1,18,3,18,1,0,0.00156,0.13252
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Cauley, Bud",14502,,USA,T32,-2,0,18,3,18,1,0,0.00564,0.23936
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Woodland, Gary",12577,,USA,T22,-3,0,18,3,18,1,0,0.00984,0.29516
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Schmid, Matti",20722,,GER,T41,0,-3,18,3,18,1,0,0.00016,0.0368
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Yellamaraju, Sudarshan",29925,,CAN,T46,1,6,18,3,18,1,0,0.00004,0.01408
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Homa, Max",17538,,USA,T38,-1,-1,18,3,18,1,0,0.00116,0.10256
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Brennan, Michael",29197,,USA,T41,0,-3,18,3,18,1,0,0.00092,0.06828
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Thomas, Justin",14139,,USA,T38,-1,2,18,3,18,1,0,0.00356,0.1768
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Fox, Ryan",11889,,NZL,67,8,2,18,3,18,1,0,0,0
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Hisatsune, Ryo",22760,,JPN,T41,0,1,18,3,18,1,0,0.00048,0.05372
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Coody, Pierceson",28309,,USA,T22,-3,0,18,3,18,1,0,0.00752,0.25444
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Hojgaard, Nicolai",23602,,DEN,T46,1,-2,18,3,18,1,0,0.00024,0.02508
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Kim, Michael",17543,,USA,T46,1,4,18,3,18,1,0,0.00012,0.02224
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Morikawa, Collin",22085,,USA,T46,1,1,18,3,18,1,0,0.0002,0.03872
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Conners, Corey",17576,,CAN,T51,2,0,18,3,18,1,0,0.00004,0.00952
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Hall, Harry",27194,,ENG,T32,-2,-2,18,3,18,1,0,0.00404,0.20404
FedEx St. Jude Championship,2026-08-15 4:20 PM,3,no,"Lee, Min Woo",16841,,AUS,T53,3,5,18,3,18,1,0,0,0.00264
