ID,PLAYER 1,PLAYER 2,BET,SPORTSBOOK,PLAYER 1 ODDS,PLAYER 2 ODDS,PLAYER 1 DECIMAL,PLAYER 2 DECIMAL,PLAYER 1 VEGAS ODDS,PLAYER 2 VEGAS ODDS,PLAYER 1 AVERAGE ODDS,PLAYER 2 AVERAGE,PLAYER 1 POINTS TO WIN (925),PLAYER 2 PINTS TO WIN (925),,PLAYER 1 WIN %,PLAYER 2 WIN %,PROJECTED EDGE,PLAYER 1 EDGE,PLAYER 2 EDGE,SPORTSBOOK TAG,EDGE CALC,AVERAGE SPORTSBOOK TAG,EDGE,DIF,NINETOFIVE TAG,CORRELATED BETS,PROJECTED EDGE,SPORTSBOOK EDGE,BET TYPE,NINETOFIVE BET TAG,NINETOFIVE BET
Chris Kirk - LOSER - Shane Lowry,Chris Kirk,Shane Lowry,Chris Kirk - VS - Shane Lowry,BET365,3.00,2.20,1.03,1.022,0.5750187547,0.424981245,0.5748515969,0.4251484031,94.5943594,,94.5943594,0,0,100.00%,-0.02%,0.02%,WINNER,,LOSER,,0,WINNER,1,,-0.02%,TOURNAMENT,WINNER,Chris Kirk - WINNER - Shane Lowry
John Parry - WINNER - Harris English,John Parry,Harris English,John Parry - VS - Harris English,BET365,2.80,2.25,1.028,1.0225,0.55312983,0.446870170,0.5701699884,0.4298300116,98.09482034,,98.09482034,0,0,100.00%,1.70%,-1.70%,WINNER,,WINNER,,0,WINNER,1,,1.70%,TOURNAMENT,WINNER,John Parry - WINNER - Harris English
Adrien Dumont De Chassart - LOSER - Max McGreevy,Adrien Dumont De Chassart,Max McGreevy,Adrien Dumont De Chassart - VS - Max McGreevy,BET365,2.60,2.50,1.026,1.025,0.5095602294,0.490439771,0.5061995793,0.4938004207,102.3611097,103.8356719,206.1967816,0.4964243812,0.5035756188,0.00%,-0.34%,0.34%,WINNER,-1.31%,LOSER,1.31%,-0.007151237649,WINNER,1,-1.31%,-0.34%,TOURNAMENT,LOSER,Adrien Dumont De Chassart - LOSER - Max McGreevy
Tom Kim - LOSER - Austin Eckroat,Tom Kim,Austin Eckroat,Tom Kim - VS - Austin Eckroat,BET365,2.40,2.90,1.024,1.029,0.4540373584,0.545962642,0.4521375376,0.5478624624,92.40527673,92.18110048,184.5863772,0.5006072394,0.4993927606,0.00%,-0.19%,0.19%,LOSER,4.66%,LOSER,4.66%,0.001214478841,LOSER,1,4.66%,-0.19%,TOURNAMENT,WINNER,Tom Kim - WINNER - Austin Eckroat
Danny Willett - WINNER - Chad Ramey,Danny Willett,Chad Ramey,Danny Willett - VS - Chad Ramey,BET365,3.75,2.62,1.0375,1.0262,0.586042793,0.413957207,0.6175610119,0.3824389881,,90.78701904,90.78701904,0,0,100.00%,3.15%,-3.15%,WINNER,,WINNER,,0,WINNER,1,,3.15%,TOURNAMENT,WINNER,Danny Willett - WINNER - Chad Ramey
Beau Hossler - WINNER - Denny McCarthy,Beau Hossler,Denny McCarthy,Beau Hossler - VS - Denny McCarthy,BET365,3.00,2.50,1.03,1.025,0.5442477876,0.455752212,0.5509007985,0.4490992015,90.68389742,117.1412812,207.8251787,0.4363470202,0.5636529798,0.00%,0.67%,-0.67%,WINNER,-10.79%,WINNER,10.79%,-0.1273059597,WINNER,1,-10.79%,0.67%,TOURNAMENT,LOSER,Beau Hossler - LOSER - Denny McCarthy
Tony Finau - LOSER - Thorbjorn Olesen,Tony Finau,Thorbjorn Olesen,Tony Finau - VS - Thorbjorn Olesen,BET365,2.70,2.90,1.027,1.029,0.482628635,0.517371365,0.4791795068,0.5208204932,110.5123139,111.6327994,222.1451133,0.4974780325,0.5025219675,0.00%,-0.34%,0.34%,LOSER,1.48%,LOSER,,-0.005043934927,WINNER,0,1.48%,-0.34%,TOURNAMENT,WINNER,Tony Finau - WINNER - Thorbjorn Olesen
Zecheng Dou - LOSER - Michael Brennan,Zecheng Dou,Michael Brennan,Zecheng Dou - VS - Michael Brennan,BET365,2.87,2.25,1.0287,1.0225,0.5590571807,0.440942819,0.5354432832,0.4645567168,95.77807109,,95.77807109,0,0,100.00%,-2.36%,2.36%,WINNER,,LOSER,,0,WINNER,1,,-2.36%,TOURNAMENT,WINNER,Zecheng Dou - WINNER - Michael Brennan
Bronson Burgoon - LOSER - Jhonattan Vegas,Bronson Burgoon,Jhonattan Vegas,Bronson Burgoon - VS - Jhonattan Vegas,BET365,3.10,3.20,1.031,1.032,0.4923057984,0.507694202,0.4809198174,0.5190801826,85.05435676,79.40162656,164.4559833,0.5171861494,0.4828138506,0.00%,-1.14%,1.14%,LOSER,2.49%,LOSER,2.49%,0.03437229882,LOSER,1,2.49%,-1.14%,TOURNAMENT,WINNER,Bronson Burgoon - WINNER - Jhonattan Vegas
Adam Scott - LOSER - Chris Gotterup,Adam Scott,Chris Gotterup,Adam Scott - VS - Chris Gotterup,BET365,2.80,2.20,1.028,1.022,0.5585571518,0.441442848,0.5418163156,0.4581836844,,,0,0,0,100.00%,-1.67%,1.67%,WINNER,,LOSER,,0,WINNER,1,,-1.67%,TOURNAMENT,WINNER,Adam Scott - WINNER - Chris Gotterup
