Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course
Scottie Scheffler,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/607.png,1496,43352208,Travelers Championship,6/25/2026,13800,114.57,0,0,0,428.8 (0.19),108.5 (0.48),-187.8 (0.65),-502.0 (0.83),,
Jon Rahm,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1173.png,680,43204179,LIV Golf Andalucia,6/4/2026,11500,27.5,0,0.5,0.5,,,,,,
Bryson DeChambeau,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/656.png,467,43204180,LIV Golf Andalucia,6/4/2026,11000,26.5,0,0.5,0.5,,,,,,
Joaquin Niemann,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/563.png,509671,43204181,LIV Golf Andalucia,6/4/2026,10500,25.5,0,0.5,0.5,,,,,,
Tommy Fleetwood,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/733.png,871,43352209,Travelers Championship,6/25/2026,10300,94.49,0,0,0,1627.1 (0.06),366.7 (0.21),173.3 (0.37),-141.4 (0.59),,
Xander Schauffele,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/722.png,902,43352210,Travelers Championship,6/25/2026,10200,93.28,0,0,0,1642.5 (0.06),358.3 (0.22),168.0 (0.37),-149.4 (0.60),,
Matt Fitzpatrick,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/1199.png,1075,43352211,Travelers Championship,6/25/2026,10000,96.96,0,0,0,2050.3 (0.05),438.3 (0.19),212.5 (0.32),-122.4 (0.55),,
David Puig,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,756216,43204182,LIV Golf Andalucia,6/4/2026,10000,24.5,0,0.5,0.5,,,,,,
Ludvig Aberg,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/452216.png,690516,43352212,Travelers Championship,6/25/2026,9800,90.67,0,0,0,1800.2 (0.05),391.7 (0.20),187.7 (0.35),-131.8 (0.57),,
Tyrrell Hatton,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1015.png,1356,43204183,LIV Golf Andalucia,6/4/2026,9800,24.1,0,0.5,0.5,,,,,,
Cameron Young,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/849.png,696569,43352213,Travelers Championship,6/25/2026,9600,94.19,0,0,0,2134.9 (0.04),460.0 (0.18),217.5 (0.32),-73.0 (0.42),,
Dean Burmester,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/770.png,851,43204184,LIV Golf Andalucia,6/4/2026,9600,23.7,0,0.5,0.5,,,,,,
Wyndham Clark,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/852.png,523168,43352214,Travelers Championship,6/25/2026,9400,86.19,0,0,0,2927.5 (0.03),614.2 (0.14),283.3 (0.26),72.4 (0.58),,
Thomas Detry,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/842.png,121942,43204185,LIV Golf Andalucia,6/4/2026,9400,23.3,0,0.5,0.5,,,,,,
Sam Burns,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/582.png,1154,43352215,Travelers Championship,6/25/2026,9300,88.08,0,0,0,2119.5 (0.05),463.3 (0.18),215.8 (0.32),-114.6 (0.53),,
Lucas Herbert,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/863.png,113,43204186,LIV Golf Andalucia,6/4/2026,9300,23.1,0,0.5,0.5,,,,,,
Collin Morikawa,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/789.png,300102,43352216,Travelers Championship,6/25/2026,9200,85.31,0,0,0,2881.1 (0.03),632.5 (0.14),279.2 (0.26),72.0 (0.58),,
