TOURNAMENT SCORECARD SUMMARY,,,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 9/1/2026, 2:28:39 AM",,,,,,,,,,,
⚠ No scorecard data retrieved. Most players are probably not in this event's field.,,,,,,,,,,,
Player,Round,Score,To Par,Birdies,Eagles,Bogeys,Doubles+,Front 9,Back 9,Pars,Thru
Xander Schauffele,1,67,-3,5,0,2,0,34,33,11,F
Xander Schauffele,2,71,+1,5,0,4,1,34,37,8,F
Xander Schauffele,3,67,-3,4,0,1,0,34,33,13,F
Xander Schauffele,4,66,-4,4,0,0,0,34,32,14,F
J.J. Spaun,1,23,+4,0,0,2,1,23,,2,5
Collin Morikawa,1,64,-6,7,0,1,0,32,32,10,F
Collin Morikawa,2,67,-3,3,0,0,0,34,33,15,F
Collin Morikawa,3,72,+2,3,0,3,1,35,37,11,F
Collin Morikawa,4,68,-2,4,0,2,0,35,33,12,F
Wyndham Clark,1,67,-3,4,0,1,0,35,32,13,F
Wyndham Clark,2,69,-1,4,0,3,0,33,36,11,F
Wyndham Clark,3,67,-3,5,0,2,0,36,31,11,F
Wyndham Clark,4,72,+2,3,0,3,1,37,35,11,F
Robert MacIntyre,1,67,-3,1,1,0,0,32,35,16,F
Robert MacIntyre,2,76,+6,1,0,5,1,36,40,11,F
Robert MacIntyre,3,63,-7,6,1,1,0,32,31,10,F
Robert MacIntyre,4,74,+4,2,0,4,1,36,38,11,F
Rory McIlroy,1,68,-2,5,0,3,0,36,32,10,F
Rory McIlroy,2,69,-1,5,0,2,1,36,33,10,F
Rory McIlroy,3,63,-7,9,0,2,0,32,31,7,F
Rory McIlroy,4,69,-1,4,1,5,0,37,32,8,F
Gary Woodland,1,66,-4,4,1,2,0,33,33,11,F
Gary Woodland,2,68,-2,6,0,2,1,34,34,9,F
Gary Woodland,3,71,+1,2,0,1,1,36,35,14,F
Gary Woodland,4,77,+7,0,0,0,3,35,42,15,F
Adam Scott,1,66,-4,5,0,1,0,33,33,12,F
Adam Scott,2,67,-3,3,0,0,0,33,34,15,F
Adam Scott,3,65,-5,6,0,1,0,33,32,11,F
Adam Scott,4,72,+2,1,0,3,0,35,37,14,F
Ryan Fox,1,66,-4,6,1,4,0,34,32,7,F
Ryan Fox,2,68,-2,5,0,3,0,33,35,10,F
Ryan Fox,3,70,E,3,0,3,0,37,33,12,F
Ryan Fox,4,74,+4,3,0,3,2,40,34,10,F
Kristoffer Reitan,1,70,E,2,0,2,0,33,37,14,F
Kristoffer Reitan,2,69,-1,3,0,2,0,35,34,13,F
Kristoffer Reitan,3,68,-2,5,0,1,1,35,33,11,F
Kristoffer Reitan,4,70,E,4,0,2,1,36,34,11,F
Alex Fitzpatrick,1,68,-2,4,0,2,0,34,34,12,F
Alex Fitzpatrick,2,68,-2,3,0,1,0,32,36,14,F
Alex Fitzpatrick,3,67,-3,5,0,2,0,33,34,11,F
Alex Fitzpatrick,4,66,-4,6,0,2,0,35,31,10,F
Viktor Hovland,1,64,-6,7,0,1,0,31,33,10,F
Viktor Hovland,2,66,-4,6,0,2,0,35,31,10,F
Viktor Hovland,3,65,-5,6,0,1,0,34,31,11,F
Viktor Hovland,4,72,+2,1,0,3,0,35,37,14,F
Ludvig Åberg,1,65,-5,7,0,2,0,32,33,9,F
Ludvig Åberg,2,68,-2,4,0,2,0,34,34,12,F
Ludvig Åberg,3,65,-5,7,0,0,1,34,31,10,F
